,Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
102,103,Roy Helu (FA),17,39,2.3,12,0,0,9,16,75,8.3,1,0,9,26.4,2.9,0.0%
103,104,Terrance West (FA),62,231,3.7,17,0,0,4,5,21,5.3,0,2,8,25.0,3.1,0.0%
104,105,Rex Burkhead (HOU),4,4,1.0,2,0,0,10,15,94,9.4,1,1,16,23.8,1.5,0.8%
105,106,Pierre Thomas (FA),15,64,4.3,11,0,0,9,11,84,9.3,0,0,5,23.8,4.8,0.0%
106,107,Jalston Fowler (FA),7,13,1.9,3,0,1,5,6,44,8.8,1,0,16,22.7,1.4,0.0%
107,108,Kerwynn Williams (FA),27,142,5.3,35,1,1,2,2,16,8.0,0,1,6,21.8,3.6,0.0%
108,109,Kenjon Barner (FA),28,124,4.4,19,0,0,9,12,22,2.4,0,1,10,21.6,2.2,0.0%
109,110,Dan Herron (FA),25,79,3.2,8,0,0,9,10,47,5.2,0,0,10,21.6,2.2,0.0%
110,111,David Cobb (FA),52,146,2.8,12,0,1,1,2,-2,-2.0,0,0,7,21.4,3.1,0.0%
111,112,Anthony Dixon (FA),21,44,2.1,6,0,1,6,7,44,7.3,0,0,16,20.8,1.3,0.0%
112,113,Akeem Hunt (FA),17,96,5.6,25,2,0,6,10,39,6.5,0,0,7,19.5,2.8,0.0%
113,114,Kendall Gaskins (FA),16,38,2.4,14,0,0,8,10,69,8.6,0,0,9,18.7,2.1,0.0%
114,115,Lorenzo Taliaferro (FA),13,47,3.6,7,0,1,5,5,29,5.8,0,0,3,18.6,6.2,0.0%
115,116,Ryan Hewitt (FA),0,0,0.0,0,0,0,8,12,99,12.4,0,0,15,17.9,1.2,0.0%
116,117,Knile Davis (FA),28,72,2.6,10,0,1,2,3,24,12.0,0,0,14,17.6,1.3,0.0%
117,118,Mike Davis (ATL),35,58,1.7,13,0,0,7,13,38,5.4,0,0,6,16.6,2.8,65.1%
118,119,Michael Burton (KC),4,2,0.5,2,0,0,6,6,39,6.5,1,0,16,16.1,1.0,0.1%
119,120,Juwan Thompson (FA),18,48,2.7,12,0,0,6,9,51,8.5,0,0,15,15.9,1.1,0.0%
120,121,Austin Johnson (FA),4,9,2.3,4,0,1,5,8,30,6.0,0,0,10,14.9,1.5,0.0%
121,122,Dexter McCluster (FA),55,247,4.5,44,2,1,31,41,260,8.4,1,2,11,14.8,1.3,0.0%
122,123,Steven Jackson (FA),21,50,2.4,7,0,1,1,1,20,20.0,0,0,2,14.0,7.0,0.0%
123,124,Bryce Brown (FA),25,72,2.9,18,0,1,0,2,0,0.0,0,0,3,13.2,4.4,0.0%
124,125,Stevan Ridley (FA),36,90,2.5,13,0,0,4,5,-2,-0.5,0,0,8,12.8,1.6,0.0%
125,126,Zurlon Tipton (FA),5,20,4.0,7,0,0,5,8,57,11.4,0,0,10,12.7,1.3,0.0%
126,127,Will Johnson (FA),4,7,1.8,6,0,1,2,4,16,8.0,0,0,16,12.3,0.8,0.0%
127,128,Jarryd Hayne (FA),17,52,3.1,11,0,0,6,7,27,4.5,0,1,8,11.9,1.5,0.0%
128,129,Josh Robinson (FA),17,39,2.3,8,0,0,6,6,33,5.5,0,1,5,11.2,2.2,0.0%
129,130,Tommy Bohanon (BAL),2,2,1.0,2,0,0,4,8,56,14.0,0,0,16,9.8,0.6,0.0%
130,131,Toby Gerhart (FA),20,44,2.2,6,0,0,3,5,23,7.7,0,0,7,9.7,1.4,0.0%
131,132,Darrel Young (FA),6,10,1.7,5,0,0,6,6,22,3.7,0,0,16,9.6,0.6,0.0%
132,133,Zach Zenner (FA),17,60,3.5,12,0,0,2,3,11,5.5,0,0,6,9.1,1.5,0.0%
133,134,Reggie Bush (FA),8,28,3.5,9,0,0,4,10,19,4.8,0,0,5,8.7,1.7,0.0%
134,135,Anthony Sherman (FA),1,0,0.0,0,0,0,4,5,34,8.5,0,0,16,7.4,0.5,0.0%
135,136,Stepfan Taylor (FA),17,58,3.4,16,0,0,1,3,4,4.0,0,0,16,7.2,0.5,0.2%
136,137,Fitzgerald Toussaint (FA),18,42,2.3,7,0,0,0,0,0,0.0,0,0,5,6.2,1.2,0.0%
137,138,Jacquizz Rodgers (FA),14,41,2.9,5,0,0,1,3,10,10.0,0,0,5,6.1,1.2,0.0%
138,139,Joey Iosefa (FA),15,51,3.4,15,0,0,0,0,0,0.0,0,0,2,5.1,2.6,0.0%
139,140,Bernard Pierce (FA),6,11,1.8,4,0,0,3,5,7,2.3,0,0,7,4.8,0.7,0.0%
140,141,Bobby Rainey (FA),5,18,3.6,7,0,0,3,3,16,5.3,0,1,16,4.4,0.3,0.0%
141,142,Derrick Coleman (FA),8,32,4.0,19,0,0,1,1,0,0.0,0,0,14,4.2,0.3,0.1%
142,143,Roosevelt Nix (FA),0,0,0.0,0,0,0,2,3,16,8.0,0,0,15,3.6,0.2,0.0%
143,144,Jorvorskie Lane (FA),1,0,0.0,0,0,0,2,2,13,6.5,0,0,16,3.3,0.2,0.0%
144,145,Jay Prosch (FA),6,33,5.5,16,0,0,0,1,0,0.0,0,0,16,3.3,0.2,0.0%
145,146,Tyler Varga (FA),1,2,2.0,2,0,0,1,2,18,18.0,0,0,3,3.0,1.0,0.0%
146,147,Aaron Ripkowski (FA),0,0,0.0,0,0,0,1,1,18,18.0,0,0,15,2.8,0.2,0.0%
147,148,Malcolm Brown (MIA),4,17,4.3,13,0,0,1,1,-2,-2.0,0,0,1,2.5,2.5,3.1%
148,149,Jerome Felton (FA),1,2,2.0,2,0,0,1,2,12,12.0,0,0,16,2.4,0.2,0.0%
149,150,Jordan Todman (FA),4,22,5.5,11,0,0,0,2,0,0.0,0,0,11,2.2,0.2,0.0%
150,151,John Crockett (FA),9,21,2.3,12,0,0,0,0,0,0.0,0,0,2,2.1,1.1,0.0%
151,152,Rod Smith (FA),2,5,2.5,3,0,0,1,2,6,6.0,0,0,11,2.1,0.2,0.0%
152,153,Alonzo Harris (FA),4,19,4.8,16,0,0,0,1,0,0.0,0,0,6,1.9,0.3,0.0%
153,154,Terrence Magee (FA),2,5,2.5,4,0,0,1,1,2,2.0,0,0,4,1.7,0.4,0.0%
154,155,Corey Grant (FA),6,2,0.3,11,0,0,2,3,13,6.5,0,1,6,1.5,0.3,0.0%
155,156,Tyler Clutts (FA),0,0,0.0,0,0,0,1,1,4,4.0,0,0,16,1.4,0.1,0.0%
156,157,Trey Williams (FA),2,12,6.0,12,0,0,0,0,0,0.0,0,0,2,1.2,0.6,0.0%
157,158,Antone Smith (FA),1,11,11.0,11,0,0,0,0,0,0.0,0,0,5,1.1,0.2,0.0%
158,159,Cierre Wood (FA),2,3,1.5,3,0,0,1,1,-6,-6.0,0,0,2,0.7,0.4,0.0%
159,160,Kendall Hunter (FA),1,2,2.0,2,0,0,0,0,0,0.0,0,0,2,0.2,0.1,0.0%
160,161,George Winn (FA),4,1,0.3,2,0,0,0,0,0,0.0,0,0,7,0.1,0.0,0.0%
161,162,Demetric Felton (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.3%
162,163,Deon Jackson (IND),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
163,164,Gabe Nabers (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
164,165,Jake Bargas (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
165,166,Josh Hokit (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
166,167,Mekhi Sargent (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
167,168,Jermar Jefferson (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.3%
168,169,Pooka Williams Jr. (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
169,170,Jaret Patterson (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9%
170,171,Trey Ragas (LV),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
171,172,Sandro Platzgummer (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
172,173,Nathan Cottrell (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
173,174,Jonathan Ward (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
174,175,Dexter Williams (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
175,176,Darrell Henderson Jr. (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,98.6%
176,177,Alec Ingold (LV),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
177,178,Trevon Wesco (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
178,179,Ryquell Armstead (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
179,180,Aca'Cedric Ware (TB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
180,181,Qadree Ollison (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.3%
181,182,Trayveon Williams (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
182,183,Ty Johnson (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,19.4%
183,184,Patrick Laird (MIA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
184,185,Elijah Holyfield (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
185,186,Devin Singletary (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,65.3%
186,187,Andrew Beck (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
187,188,Tony Pollard (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,67.0%
188,189,Cullen Gillaspia (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
189,190,Jakob Johnson (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
